Year    Week  City          vartype.table_file              run_report_file                          ENA run accession    BioSample accession    ENA project accession
2022    12    Kalmar        is_175_016.varType.table.tsv    run_report_samples_is_175_001-016.pdf    ERR11280872          SAMEA113373507         PRJEB60156
2022    8     Uppsala       is_175_017.varType.table.tsv    run_report_samples_is_175_017-032.pdf    ERR11280873          SAMEA113373510         PRJEB60156
2022    8     Örebro        is_175_018.varType.table.tsv    run_report_samples_is_175_017-032.pdf    ERR11280874          SAMEA113373511         PRJEB60156
2022    8     Umeå          is_175_019.varType.table.tsv    run_report_samples_is_175_017-032.pdf    ERR11280875          SAMEA113373512         PRJEB60156
2022    8     Kalmar        is_175_020.varType.table.tsv    run_report_samples_is_175_017-032.pdf    ERR11280876          SAMEA113373513         PRJEB60156
2022    9     Uppsala       is_175_021.varType.table.tsv    run_report_samples_is_175_017-032.pdf    ERR11280877          SAMEA113373514         PRJEB60156
2022    9     Örebro        is_175_022.varType.table.tsv    run_report_samples_is_175_017-032.pdf    ERR11280878          SAMEA113373515         PRJEB60156
2022    9     Umeå          is_175_023.varType.table.tsv    run_report_samples_is_175_017-032.pdf    ERR11280879          SAMEA113373517         PRJEB60156
2022    9     Kalmar        is_175_024.varType.table.tsv    run_report_samples_is_175_017-032.pdf    ERR11280880          SAMEA113373518         PRJEB60156
2022    10    Uppsala       is_175_025.varType.table.tsv    run_report_samples_is_175_017-032.pdf    ERR11280881          SAMEA113373519         PRJEB60156
2022    10    Örebro        is_175_026.varType.table.tsv    run_report_samples_is_175_017-032.pdf    ERR11280882          SAMEA113373520         PRJEB60156
2022    10    Umeå          is_175_027.varType.table.tsv    run_report_samples_is_175_017-032.pdf    ERR11280883          SAMEA113373522         PRJEB60156
2022    11    Uppsala       is_175_028.varType.table.tsv    run_report_samples_is_175_017-032.pdf    ERR11280884          SAMEA113373523         PRJEB60156
2022    11    Umeå          is_175_029.varType.table.tsv    run_report_samples_is_175_017-032.pdf    ERR11280885          SAMEA113373524         PRJEB60156
2022    11    Kalmar        is_175_030.varType.table.tsv    run_report_samples_is_175_017-032.pdf    ERR11280886          SAMEA113373525         PRJEB60156
2022    12    Uppsala       is_175_031.varType.table.tsv    run_report_samples_is_175_017-032.pdf    ERR11280887          SAMEA113373526         PRJEB60156
2022    12    Umeå          is_175_032.varType.table.tsv    run_report_samples_is_175_017-032.pdf    ERR11280888          SAMEA113373527         PRJEB60156
2022    14    Uppsala       is_178_0101.varType.table.tsv    run_report_samples_is_178_0101-0116.pdf    ERR11280889          SAMEA113373537         PRJEB60156
2022    14    Örebro        is_178_0102.varType.table.tsv    run_report_samples_is_178_0101-0116.pdf    ERR11280890          SAMEA113373538         PRJEB60156
2022    14    Umeå          is_178_0103.varType.table.tsv    run_report_samples_is_178_0101-0116.pdf    ERR11280891          SAMEA113373539         PRJEB60156
2022    14    Kalmar        is_178_0104.varType.table.tsv    run_report_samples_is_178_0101-0116.pdf    ERR11280892          SAMEA113373540         PRJEB60156
2022    20    Örebro        is_178_0105.varType.table.tsv    run_report_samples_is_178_0101-0116.pdf    ERR11280893          SAMEA113373542         PRJEB60156
2022    20    Umeå          is_178_0106.varType.table.tsv    run_report_samples_is_178_0101-0116.pdf    ERR11280894          SAMEA113373543         PRJEB60156
2022    20    Kalmar        is_178_0107.varType.table.tsv    run_report_samples_is_178_0101-0116.pdf    ERR11280895          SAMEA113373544         PRJEB60156
2022    17    Kalmar        is_178_0108.varType.table.tsv    run_report_samples_is_178_0101-0116.pdf    ERR11280896          SAMEA113373545         PRJEB60156
2022    16    Uppsala       is_178_0109.varType.table.tsv    run_report_samples_is_178_0101-0116.pdf    ERR11280897          SAMEA113373546         PRJEB60156
2022    16    Örebro        is_178_0110.varType.table.tsv    run_report_samples_is_178_0101-0116.pdf    ERR11280898          SAMEA113373547         PRJEB60156
2022    16    Umeå          is_178_0111.varType.table.tsv    run_report_samples_is_178_0101-0116.pdf    ERR11280899          SAMEA113373549         PRJEB60156
2022    18    Uppsala       is_178_0112.varType.table.tsv    run_report_samples_is_178_0101-0116.pdf    ERR11280900          SAMEA113373551         PRJEB60156
2022    18    Örebro        is_178_0113.varType.table.tsv    run_report_samples_is_178_0101-0116.pdf    ERR11280901          SAMEA113373552         PRJEB60156
2022    18    Umeå          is_178_0114.varType.table.tsv    run_report_samples_is_178_0101-0116.pdf    ERR11280902          SAMEA113373553         PRJEB60156
2022    18    Kalmar        is_178_0115.varType.table.tsv    run_report_samples_is_178_0101-0116.pdf    ERR11280903          SAMEA113373554         PRJEB60156
2022    19    Uppsala       is_178_0116.varType.table.tsv    run_report_samples_is_178_0101-0116.pdf    ERR11280904          SAMEA113373555         PRJEB60156
2022    19    Örebro        is_178_0117.varType.table.tsv    run_report_samples_is_178_0117-0132.pdf    ERR11280905          SAMEA113373556         PRJEB60156
2022    19    Umeå          is_178_0118.varType.table.tsv    run_report_samples_is_178_0117-0132.pdf    ERR11280906          SAMEA113373557         PRJEB60156
2022    19    Kalmar        is_178_0119.varType.table.tsv    run_report_samples_is_178_0117-0132.pdf    ERR11280907          SAMEA113373558         PRJEB60156
2022    20    Uppsala       is_178_0120.varType.table.tsv    run_report_samples_is_178_0117-0132.pdf    ERR11280908          SAMEA113373559         PRJEB60156
2022    3     Kalmar        is_178_0121.varType.table.tsv    run_report_samples_is_178_0117-0132.pdf    ERR11280909          SAMEA113373560         PRJEB60156
2022    14    Stockholm     is_178_0122.varType.table.tsv    run_report_samples_is_178_0117-0132.pdf    ERR11280910          SAMEA113373561         PRJEB60156
2022    14    Malmö         is_178_0123.varType.table.tsv    run_report_samples_is_178_0117-0132.pdf    ERR11280911          SAMEA113373562         PRJEB60156
2022    16    Stockholm     is_178_0124.varType.table.tsv    run_report_samples_is_178_0117-0132.pdf    ERR11280912          SAMEA113373563         PRJEB60156
2022    16    Malmö         is_178_0125.varType.table.tsv    run_report_samples_is_178_0117-0132.pdf    ERR11280913          SAMEA113373564         PRJEB60156
2022    17    Stockholm     is_178_0126.varType.table.tsv    run_report_samples_is_178_0117-0132.pdf    ERR11280914          SAMEA113373565         PRJEB60156
2022    17    Malmö         is_178_0127.varType.table.tsv    run_report_samples_is_178_0117-0132.pdf    ERR11280915          SAMEA113373566         PRJEB60156
2022    18    Stockholm     is_178_0128.varType.table.tsv    run_report_samples_is_178_0117-0132.pdf    ERR11280916          SAMEA113373567         PRJEB60156
2022    19    Stockholm     is_178_0129.varType.table.tsv    run_report_samples_is_178_0117-0132.pdf    ERR11280917          SAMEA113373568         PRJEB60156
2022    19    Malmö         is_178_0130.varType.table.tsv    run_report_samples_is_178_0117-0132.pdf    ERR11280918          SAMEA113373569         PRJEB60156
2022    20    Stockholm     is_178_0131.varType.table.tsv    run_report_samples_is_178_0117-0132.pdf    ERR11280919          SAMEA113373570         PRJEB60156
2022    20    Malmö         is_178_0132.varType.table.tsv    run_report_samples_is_178_0117-0132.pdf    ERR11280920          SAMEA113373571         PRJEB60156
2022    16    Uppsala       is_181_0101.varType.table.tsv    run_report_samples_is_181_0101-0115.pdf    ERR11280921          SAMEA113373583         PRJEB60156
2022    18    Uppsala       is_181_0102.varType.table.tsv    run_report_samples_is_181_0101-0115.pdf    ERR11280922          SAMEA113373584         PRJEB60156
2022    21    Kalmar        is_181_0103.varType.table.tsv    run_report_samples_is_181_0101-0115.pdf    ERR11280923          SAMEA113373585         PRJEB60156
2022    21    Umeå          is_181_0104.varType.table.tsv    run_report_samples_is_181_0101-0115.pdf    ERR11280924          SAMEA113373586         PRJEB60156
2022    21    Örebro        is_181_0106.varType.table.tsv    run_report_samples_is_181_0101-0115.pdf    ERR11280925          SAMEA113373588         PRJEB60156
2022    22    Kalmar        is_181_0107.varType.table.tsv    run_report_samples_is_181_0101-0115.pdf    ERR11280926          SAMEA113373589         PRJEB60156
2022    22    Umeå          is_181_0108.varType.table.tsv    run_report_samples_is_181_0101-0115.pdf    ERR11280927          SAMEA113373590         PRJEB60156
2022    22    Uppsala       is_181_0109.varType.table.tsv    run_report_samples_is_181_0101-0115.pdf    ERR11280928          SAMEA113373591         PRJEB60156
2022    22    Örebro        is_181_0110.varType.table.tsv    run_report_samples_is_181_0101-0115.pdf    ERR11280929          SAMEA113373592         PRJEB60156
2022    23    Uppsala       is_181_0111.varType.table.tsv    run_report_samples_is_181_0101-0115.pdf    ERR11280930          SAMEA113373593         PRJEB60156
2022    23    Örebro        is_181_0112.varType.table.tsv    run_report_samples_is_181_0101-0115.pdf    ERR11280931          SAMEA113373594         PRJEB60156
2022    24    Örebro        is_181_0113.varType.table.tsv    run_report_samples_is_181_0101-0115.pdf    ERR11280932          SAMEA113373595         PRJEB60156
2022    25    Umeå          is_181_0114.varType.table.tsv    run_report_samples_is_181_0101-0115.pdf    ERR11280933          SAMEA113373596         PRJEB60156
2022    25    Örebro        is_181_0115.varType.table.tsv    run_report_samples_is_181_0101-0115.pdf    ERR11280934          SAMEA113373597         PRJEB60156
2022    21    Stockholm     is_181_0117.varType.table.tsv    run_report_samples_is_181_0117-0132.pdf    ERR11280935          SAMEA113373598         PRJEB60156
2022    21    Malmö         is_181_0118.varType.table.tsv    run_report_samples_is_181_0117-0132.pdf    ERR11280936          SAMEA113373599         PRJEB60156
2022    22    Stockholm     is_181_0119.varType.table.tsv    run_report_samples_is_181_0117-0132.pdf    ERR11280937          SAMEA113373600         PRJEB60156
2022    23    Stockholm     is_181_0120.varType.table.tsv    run_report_samples_is_181_0117-0132.pdf    ERR11280938          SAMEA113373601         PRJEB60156
2022    23    Malmö         is_181_0121.varType.table.tsv    run_report_samples_is_181_0117-0132.pdf    ERR11280939          SAMEA113373602         PRJEB60156
2022    24    Stockholm     is_181_0122.varType.table.tsv    run_report_samples_is_181_0117-0132.pdf    ERR11280940          SAMEA113373603         PRJEB60156
2022    24    Malmö         is_181_0123.varType.table.tsv    run_report_samples_is_181_0117-0132.pdf    ERR11280941          SAMEA113373604         PRJEB60156
2022    25    Stockholm     is_181_0124.varType.table.tsv    run_report_samples_is_181_0117-0132.pdf    ERR11280942          SAMEA113373605         PRJEB60156
2022    21    Uppsala       is_181_0125.varType.table.tsv    run_report_samples_is_181_0117-0132.pdf    ERR11280943          SAMEA113373606         PRJEB60156
2022    23    Kalmar        is_181_0126.varType.table.tsv    run_report_samples_is_181_0117-0132.pdf    ERR11280944          SAMEA113373607         PRJEB60156
2022    23    Umeå          is_181_0127.varType.table.tsv    run_report_samples_is_181_0117-0132.pdf    ERR11280945          SAMEA113373608         PRJEB60156
2022    24    Kalmar        is_181_0128.varType.table.tsv    run_report_samples_is_181_0117-0132.pdf    ERR11280946          SAMEA113373609         PRJEB60156
2022    24    Umeå          is_181_0129.varType.table.tsv    run_report_samples_is_181_0117-0132.pdf    ERR11280947          SAMEA113373610         PRJEB60156
2022    24    Uppsala       is_181_0130.varType.table.tsv    run_report_samples_is_181_0117-0132.pdf    ERR11280948          SAMEA113373611         PRJEB60156
2022    25    Kalmar        is_181_0131.varType.table.tsv    run_report_samples_is_181_0117-0132.pdf    ERR11280949          SAMEA113373612         PRJEB60156
2022    25    Uppsala       is_181_0132.varType.table.tsv    run_report_samples_is_181_0117-0132.pdf    ERR11280950          SAMEA113373613         PRJEB60156
2022    36    Kalmar        is_183_0101.varType.table.tsv    run_report_samples_is_183_0101-0116.pdf    ERR11280951          SAMEA113373623         PRJEB60156
2022    36    Umeå          is_183_0102.varType.table.tsv    run_report_samples_is_183_0101-0116.pdf    ERR11280952          SAMEA113373624         PRJEB60156
2022    36    Örebro        is_183_0103.varType.table.tsv    run_report_samples_is_183_0101-0116.pdf    ERR11280953          SAMEA113373625         PRJEB60156
2022    36    Uppsala       is_183_0104.varType.table.tsv    run_report_samples_is_183_0101-0116.pdf    ERR11280954          SAMEA113373626         PRJEB60156
2022    31    Kalmar        is_183_0105.varType.table.tsv    run_report_samples_is_183_0101-0116.pdf    ERR11280955          SAMEA113373627         PRJEB60156
2022    31    Umeå          is_183_0106.varType.table.tsv    run_report_samples_is_183_0101-0116.pdf    ERR11280956          SAMEA113373628         PRJEB60156
2022    31    Örebro        is_183_0107.varType.table.tsv    run_report_samples_is_183_0101-0116.pdf    ERR11280957          SAMEA113373629         PRJEB60156
2022    31    Uppsala       is_183_0108.varType.table.tsv    run_report_samples_is_183_0101-0116.pdf    ERR11280958          SAMEA113373630         PRJEB60156
2022    29    Kalmar        is_183_0109.varType.table.tsv    run_report_samples_is_183_0101-0116.pdf    ERR11280959          SAMEA113373631         PRJEB60156
2022    29    Umeå          is_183_0110.varType.table.tsv    run_report_samples_is_183_0101-0116.pdf    ERR11280960          SAMEA113373633         PRJEB60156
2022    29    Örebro        is_183_0111.varType.table.tsv    run_report_samples_is_183_0101-0116.pdf    ERR11280961          SAMEA113373634         PRJEB60156
2022    29    Uppsala       is_183_0112.varType.table.tsv    run_report_samples_is_183_0101-0116.pdf    ERR11280962          SAMEA113373636         PRJEB60156
2022    27    Kalmar        is_183_0113.varType.table.tsv    run_report_samples_is_183_0101-0116.pdf    ERR11280963          SAMEA113373637         PRJEB60156
2022    27    Umeå          is_183_0114.varType.table.tsv    run_report_samples_is_183_0101-0116.pdf    ERR11280964          SAMEA113373638         PRJEB60156
2022    27    Örebro        is_183_0115.varType.table.tsv    run_report_samples_is_183_0101-0116.pdf    ERR11280965          SAMEA113373639         PRJEB60156
2022    27    Uppsala       is_183_0116.varType.table.tsv    run_report_samples_is_183_0101-0116.pdf    ERR11280966          SAMEA113373640         PRJEB60156
2022    34    Umeå          is_183_0117.varType.table.tsv    run_report_samples_is_183_0117-0132.pdf    ERR11280967          SAMEA113373641         PRJEB60156
2022    34    Örebro        is_183_0118.varType.table.tsv    run_report_samples_is_183_0117-0132.pdf    ERR11280968          SAMEA113373642         PRJEB60156
2022    34    Kalmar        is_183_0119.varType.table.tsv    run_report_samples_is_183_0117-0132.pdf    ERR11280969          SAMEA113373643         PRJEB60156
2022    34    Uppsala       is_183_0120.varType.table.tsv    run_report_samples_is_183_0117-0132.pdf    ERR11280970          SAMEA113373644         PRJEB60156
2022    22    Kalmar        is_183_0121.varType.table.tsv    run_report_samples_is_183_0117-0132.pdf    ERR11280971          SAMEA113373645         PRJEB60156
2022    27    Stockholm     is_183_0122.varType.table.tsv    run_report_samples_is_183_0117-0132.pdf    ERR11280972          SAMEA113373646         PRJEB60156
2022    27    Malmö         is_183_0123.varType.table.tsv    run_report_samples_is_183_0117-0132.pdf    ERR11280973          SAMEA113373648         PRJEB60156
